F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
55239682.383037,8529387307.018302,20.850508,96.140511,2926.715271,828727.133643,40.785985,93361.366973,190.279114,1325907.434102,788.238449,136.489411,128.524648,46682.002790,605.813984
117806536.459537,21471514156.285667,20.883508,110.058580,4480.793801,2258704.772162,94.626798,194313.951017,197.450897,3480984.679354,876.541485,147.452971,130.180770,53021.508935,3020.140593
123072395.547988,23288140436.411297,20.884259,102.324971,4177.913026,1529747.414652,90.005009,260790.929820,203.848363,1533752.326741,868.197686,149.669454,128.930424,52068.379721,2453.868306
123072395.547988,23288140436.411297,20.884259,102.324971,4177.913026,1529747.414652,90.005009,260790.929820,203.848363,1533752.326741,868.197686,149.669454,128.930424,52068.379721,2453.868306
107290052.452337,17104772991.747034,20.873797,102.683287,4109.622982,1203940.957646,64.558550,159957.113523,180.753619,2124097.256893,784.694925,137.700912,128.430373,45561.385971,1340.193881
