shade_wo_archive, shade_wo_archive
0, 0
0, 0
0.2831446513157026, 1.240305810049757
0, 0
0, 0
7.503617388577074, 4.162258037842745
0.00435186659344218, 0.005006053896835641
20.35444198272522, 0.07150283551540176
3.483445163240793, 0.656172613983431
0.01347203618853115, 0.007608955906439458
0, 0
3.729613124635635, 1.004462106090237
3.411129699388397, 1.519632239970729
0.008572178181958745, 0.0277094643289586
406.6752747352305, 125.5765669888115
0.7038144821478468, 0.1902110117493325
10.12241672175065, 1.111284847909415e-14
17.38174394597504, 1.461766320358428
0.32216259116761, 0.05261660934336355
2.057149478885781, 0.384704828816848
396.2684972731499, 27.75655707102755
6.91247553119235, 6.262305095053605
434.2461580723962, 151.4512363783835
198.2456125843758, 13.12225328590734
200.1179379056063, 0.589001597635226
114.6978492409141, 28.1991024670642
300.0000005917702, 3.503588626368446e-06
300, 0
