shade_archive_size_no_limit, mean_std
5.428538699169283e-07, 2.086696806913837e-07
0.2969741137916812, 0.6565021706066957
1075.09465286052, 648.5365259653892
7.341510169734487e-05, 9.28430862401662e-05
7.513758904741396e-05, 2.486768624506377e-05
9.492989366886249, 1.581118263064062
1.822729478766187, 2.158860593450679
20.32587891298113, 0.1641811619584443
3.509335210885328, 0.7400048714806312
0.09005561828882054, 0.02734341788554231
0.0003593466593567392, 0.0001648895264866126
5.45626941820921, 1.309342104772094
7.16982195650183, 3.007127891844946
0.6111587415542661, 0.1839610326894308
403.5017941554685, 113.9927665144555
0.7170062532582341, 0.1941597714137518
9.780260019128223, 1.904430115970987
20.57151702568476, 1.947499561982599
0.4173010310803264, 0.04470005867658529
2.445648562891419, 0.3410478805302743
388.4580095690146, 46.94386536082838
18.95045569421424, 9.525063877274134
416.1432557415471, 149.5331302179033
205.4743113636866, 10.60740712926691
203.2401168033551, 6.889690783107343
135.235654212863, 46.06767205393297
335.7470834330033, 61.91854826424099
296.1011643847135, 27.7059927061600
